"country","iso2c","iso3c","year","poblacion_total","crecimiento_poblacion","tasa_natalidad","tasa_mortalidad","migracion_neta","tasa_fecundidad","esperanza_vida","mortalidad_niniez","poblacion_0_14","poblacion_15_64","poblacion_65_mas","dependencia_total","dependencia_joven","dependencia_mayores"
"United Arab Emirates","AE","ARE",1974,489087,11.3983425279883,27.738,5.584,42474,6.411,64.351,64.6,27.395256258351,70.9475726686384,1.6571710730106,40.9492932174815,38.6135246905575,2.33576852692402
"United Arab Emirates","AE","ARE",1975,542856,10.4303703633327,27.222,5.376,42380,6.353,65.105,58.3,27.161229533035,71.0607683614362,1.77800210552881,40.7244956682687,38.2224088677357,2.50208680053298
"United Arab Emirates","AE","ARE",1976,615866,12.6185316008578,25.96,5.053,78903,6.291,65.806,52.5,26.9287474872781,71.3151075071525,1.75614500556939,40.2226750606209,37.7602713994604,2.46240366116051
"United Arab Emirates","AE","ARE",1977,710209,14.2529885512947,26.931,4.702,81111,6.223,66.471,47.1,26.7939437545849,71.6051894583144,1.6008667871007,39.6547418429368,37.4189602927556,2.2357815501812
"United Arab Emirates","AE","ARE",1978,809274,13.0578256541173,27.722,4.393,82359,6.151,67.083,42.3,26.8886681148783,71.6556444418083,1.45568744331339,39.5564676059253,37.5248754074048,2.03159219852041
"United Arab Emirates","AE","ARE",1979,912010,11.9513405470009,28.223,4.115,82238,6.059,67.645,37.9,27.1421217189934,71.5393079355994,1.31857034540721,39.7832157757117,37.9401513688489,1.84306440686279
"United Arab Emirates","AE","ARE",1980,1015700,10.7682354018958,28.491,3.873,78148,5.953,68.157,34,27.4163630993404,71.3859407305307,1.19769617012898,40.0836060667497,38.4058300819097,1.67777598484002
"United Arab Emirates","AE","ARE",1981,1099855,7.96003229704081,28.777,3.719,37600,5.814,68.622,30.7,27.9960085647654,70.8584313386765,1.14556009655818,41.1264659840378,39.5098416608925,1.61662432314523
"United Arab Emirates","AE","ARE",1982,1166370,5.87180088431517,28.935,3.57,38276,5.658,69.056,27.7,28.8197141558854,70.0348517194372,1.14543412467742,42.7861396926053,41.1506185232566,1.63552116934867
"United Arab Emirates","AE","ARE",1983,1235305,5.74215413753345,28.923,3.439,38536,5.482,69.448,25.2,29.537187359726,69.3195731744091,1.14323946586492,44.2593085665438,42.610135605413,1.64917296113081
"United Arab Emirates","AE","ARE",1984,1305996,5.56480649101998,28.785,3.326,38124,5.303,69.802,23.1,30.1849699386522,68.6756697570284,1.13936030431946,45.6120066629353,43.9529625310235,1.65904413191185
"United Arab Emirates","AE","ARE",1985,1377911,5.36026160862263,28.522,3.226,37605,5.125,70.123,21.3,30.7494349237959,68.1149333611048,1.13563171509926,46.8107095634497,45.1434799795006,1.66722958394908
"United Arab Emirates","AE","ARE",1986,1467383,6.29119579654771,28.206,3.108,69655,4.999,70.41,19.7,31.152398521722,67.7299995979237,1.11760188035435,47.6450884884073,45.9949550187703,1.65013346963704
